ID,galactic year,galaxy,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Well-Being Index
10744,1000000,Aquarius II,0.66886903,64.94711034,29717.63898,0.657747849,12.02117522,9.096616998,0.59974132,0.725223388,201.2225528,76.99359544,45.5657745,0.048409555
10771,992016,Grus I,0.996234288,87.00678598,13899.69548,0.903491241,14.64354895,10.10449818,0.873220181,0.714400791,121.2213798,107.64989595,109.4191124,0.078957463
10848,995006,Hercules Dwarf,1.033025189,86.58669063,28537.03171,0.786902333,15.25464587,13.88866665,0.880354247,0.810835712,93.21698295,107.64989595,109.4191124,0.054333509
10889,999000,"Wolf-Lundmark-Melotte (WLM, DDO 221)",0.66088899,56.06607283,19187.05476,0.585623883,8.615109406,4.785679371,0.530652898,0.320387632,199.8705494,107.64989595,109.4191124,0.044986818
10929,991020,IC 5152,0.855193381,77.11381356,15615.93278,0.668157592,10.97993302,9.396132923,0.641673316,0.609099061,152.2430439,107.64989595,109.4191124,0.057757772
10985,990025,Andromeda X,0.613387993,70.91288387,17316.38434,0.675271402,7.9673862,10.129150945,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.052900265
11025,992016,Pisces IV (Andromeda XIV),0.867757699,78.12751775,8014.593773,0.698796796,15.22140154,9.512931876,0.748714477,0.854732303,139.0966616,107.64989595,109.4191124,0.06989696
11075,996004,UGC 8508 (I Zw 060),0.953853148,83.72807274,42890.55756,1.067738198,19.55966402,10.23835792,0.957820448,0.868279828,104.8879467,107.64989595,109.4191124,0.133441974
11179,991020,Hydra II,0.626707918,62.43248596,27836.8641,0.654031811,9.521443792,6.342706362,0.537229491,0.470011547,176.571608,107.64989595,109.4191124,0.050524634
11238,1001000,"Cassiopeia Dwarf (Cas dSph, Andromeda VII)",1.061518475,87.78722035,53585.97607,1.132363444,18.59431878,13.30778938,1.020726909,1.080570397,80.77073134,117.2810128,110.2392273,0.182158231
11243,997002,Draco II,0.707412383,62.47061644,4394.778613,0.612021666,7.48193594,4.524329934,0.512925313,0.421828083,132.20436485,107.64989595,109.4191124,0.047533559
11264,990025,Sextans Dwarf Sph,0.705378604,65.29697878,18137.30631,0.644670979,11.28337317,6.102029174,0.625893599,0.547074424,142.2119262,107.64989595,109.4191124,0.051552408
11272,1002001,MB 1 (KK98 21),0.925909321,87.17970347,25219.55052,0.871639734,17.27857324,11.43846927,1.01077415,0.940036564,88.68972531,112.238408,124.4110054,0.133672039
11279,994009,Cas 1 (KK98 19),0.944227024,79.66111315,26328.04027,0.835895024,14.97876478,7.005453061,0.790239156,0.715265184,99.86778881,107.64989595,109.4191124,0.060467812
11333,994009,Lacerta I (Andromeda XXXI),0.848596112,71.86828993,31932.13926,0.835171183,13.4922027,13.08179851,0.827382406,0.929974358,131.1377445,107.64989595,109.4191124,0.069533046
11377,994009,"Leo A (Leo III, DDO 69)",0.907657169,70.73080852,21981.8458,0.900347877,11.47592344,6.044198606,0.743758786,0.47341166,163.0688165,107.64989595,109.4191124,0.052988249
11381,996004,Andromeda XIX[60],1.109615967,87.33119318,18842.50504,0.989667846,15.07919065,10.59755335,0.886967394,0.856317335,79.36102539,107.64989595,109.4191124,0.143406378
11398,1001000,Pisces I,0.717374617,72.12611522,9157.017296,0.592720659,11.67256428,7.390616918,0.653947423,0.461735635,210.2186345,56.96473616,52.15375981,0.04748384
11437,993012,Carina Dwarf (E206-G220),0.76257583,66.7919159,14530.56782,0.644226514,10.10234468,10.129150945,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.050929527
11504,993012,Reticulum III,0.48004159,54.14569736,26787.53099,0.53752826,6.239009588,10.129150945,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.048732389
11514,1003002,Leo V Dwarf,0.75406512,69.17152555,18051.35874,0.658073298,7.836634549,7.181945585,0.507524633,0.412891207,194.6504321,101.1731395,91.87872092,0.040704977
11521,997002,Andromeda XXVIII,0.903971748,72.6553175,22185.61952,0.771211854,14.85088344,12.26885661,0.81984168,0.799867051,116.199643,107.64989595,109.4191124,0.08695114
11609,1000000,NGC 5206,0.57674176,56.93438899,20598.10272,0.57851279,14.46720791,10.47064713,0.640344361,0.587970831,225.3727106,70.42839519,58.83125854,0.04719232
11626,1003002,Ursa Major II Dwarf,1.080065722,98.50519707,53455.72171,1.110790765,23.99066046,15.59993248,0.877231862,1.028911988,47.05698571,119.4962886,123.8819795,0.193184844
11658,999000,Andromeda VIII,0.570437581,53.68531803,22734.46631,0.51811215,14.57815732,8.935144329,0.661532966,0.730884656,176.6263714,107.64989595,109.4191124,0.046564323
11710,1001000,NGC 404,0.868839566,82.69408187,20727.09044,0.619987388,16.35060989,14.03942091,0.867536758,0.872629855,104.2053076,101.2948455,125.5171118,0.068671047
11733,998001,FM2000 1,0.83358958,83.47855078,35899.45654,0.911422639,15.73238764,11.56905009,0.832821142,0.766283299,115.3347395,107.64989595,109.4191124,0.064680966
11787,1002001,KKs 3,0.831379731,77.44595331,21286.73553,0.680710819,8.03324729,6.209580706,0.661531508,0.424789066,162.2553096,114.3727242,66.66307125,0.047933039
11870,996004,Reticulum III,0.611309278,52.04918699,6478.718803,0.587404584,6.081190941,10.129150945,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.046924538
11888,996004,ESO 325-11,0.986148914,81.89757111,21612.13838,0.873697685,15.21942871,10.23938549,0.940547505,0.783703576,117.6068108,107.64989595,109.4191124,0.076616219
11893,994009,Tucana III,0.928281767,74.90709304,14410.26696,0.952836608,14.19138152,8.8451799,0.824679553,0.591660313,141.8160326,107.64989595,109.4191124,0.063094219
11895,1001000,Andromeda III,0.863283444,85.81029518,32225.03875,0.916013666,16.66134753,13.42198905,0.936515267,1.002690896,101.0622459,116.2514278,138.1570227,0.119438507
11900,1000000,KUG 1210+301B (KK98 127),0.836663404,74.95474765,9701.164804,0.556428764,12.62183602,5.456283189,0.575829836,0.482429866,184.0852286,106.741248,43.09616639,0.050051135
11903,1000000,Cetus III,0.493076394,58.74554189,15454.31159,0.813353951,13.30196776,6.44142112,0.669168873,0.61381226,167.7864134,69.66972949,81.05484822,0.045142921
11929,1003002,Andromeda XXIII,0.878763666,77.33515993,20949.87258,0.835347398,15.0319494,10.71025451,0.777634753,0.73217196,142.4660366,100.1071908,77.18990917,0.0629639
11939,993012,Andromeda XXIX,0.510551797,54.34156455,27041.35334,0.477169864,14.70032055,5.515407996,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.048563483
11953,995006,UGC 9240 (DDO 190),0.343660568,47.98863838,18520.04751,0.44461988,9.048019049,5.47748002,0.485311205,0.522764812,183.3503772,107.64989595,109.4191124,0.04604645
11971,997002,NGC 247,0.873058728,81.33296505,15085.0234,0.738899074,14.70032055,10.129150945,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.057089422
11974,1001000,UGC 4879 (VV124)[61],0.93419648,82.28130988,13127.43552,0.721862605,17.52312509,13.208197,0.829627059,0.853219269,160.4803055,102.7001632,108.0963159,0.069124491
12029,990025,Andromeda XVIII[60],0.810084262,70.08066939,34215.30073,0.714644869,14.70032055,10.129150945,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.049022708
12035,990025,Pisces Dwarf,0.983000653,85.02092096,15796.18866,0.856718459,16.74641411,9.525408238,0.956650905,0.608000385,73.21026159,107.64989595,109.4191124,0.066076688
12108,996004,Pisces V (Andromeda XVI),0.686524456,62.12086133,15910.45921,0.522996037,8.026720543,4.13814073,0.646204425,0.529496408,142.3910234,107.64989595,109.4191124,0.046303549
12109,1002001,IC 5152,0.97973414,84.35817305,18567.91282,0.617132371,12.87849377,8.303388012,0.726551705,0.576592776,152.5575892,102.9625855,96.48623533,0.055373802
12146,1003002,Maffei 1,1.090797937,92.32837094,39359.28678,0.949352516,21.05308185,14.11322105,1.02824149,0.993516296,49.40391045,120.3352141,138.5625008,0.241481356
12175,996004,Sextans Dwarf Sph,0.719020322,59.90026912,15219.21453,0.714605466,11.45588229,7.650120376,0.690057615,0.513438036,172.5819427,107.64989595,109.4191124,0.04803709
12181,997002,IC 4662 (ESO 102-14),0.932094706,74.52965482,20990.8093,0.856092071,16.62405929,9.903971039,0.807017728,0.784446759,134.5576249,107.64989595,109.4191124,0.056269455
12249,993012,Andromeda XXIII,0.809225201,73.25296598,27005.86995,0.768070878,12.71222133,6.708465601,0.651932276,0.631867743,122.7520982,107.64989595,109.4191124,0.063391374
12251,994009,Andromeda XXIX,0.517958583,58.55883025,16103.14246,0.415803791,14.70032055,6.131573541,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.048207188
12280,1001000,Crater II,0.52809414,62.2430803,22670.91582,0.447469308,10.18216565,7.391974584,0.492777624,0.563551302,232.7455461,51.47899893,63.03069769,0.044457043
12321,992016,ESO 540-030 (KDG 2),0.979178142,77.73489438,19395.50777,0.713535367,13.07816563,10.129150945,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.064274197
12426,999000,Triangulum II,0.966613934,85.66762642,49402.63772,1.050104556,17.92632002,11.47472146,1.021574515,0.918195008,84.7540539,107.64989595,109.4191124,0.186762643
12429,990025,NGC 1569 (UGC 3056),0.508138014,55.71889816,8539.913374,0.528568351,10.65793933,6.257068368,0.529678559,0.531643618,183.7507173,107.64989595,109.4191124,0.050068482
12447,996004,Bo̦tes III,0.911858209,75.74263759,34013.2688,0.840446359,13.87389888,9.553125651,0.87377715,0.620063243,108.8954739,107.64989595,109.4191124,0.060594192
12457,998001,Andromeda XI,0.728050553,62.41282131,19341.60333,0.711523943,10.70245425,6.549829657,0.560699546,0.452132429,147.1750145,107.64989595,109.4191124,0.047307111
12535,999000,KKh 98,0.83825466,83.52933948,20373.25592,0.726039907,12.60604919,11.13256271,0.778575866,0.806642665,160.156693,107.64989595,109.4191124,0.06133673
12572,1000000,Tucana Dwarf,1.032510745,85.65529001,89563.66507,1.269772792,15.48674067,15.16301078,1.036575566,0.910355584,75.10294917,116.9044052,132.1353286,0.164890491
12575,998001,Dwingeloo 2,0.829061068,64.06382688,17032.64421,0.657546032,8.307267314,4.957374331,0.631715639,0.392887426,185.4502394,107.64989595,109.4191124,0.045367214
12644,994009,"Cassiopeia Dwarf (Cas dSph, Andromeda VII)",1.11244397,87.01109377,41933.26354,1.077510646,15.75380748,11.67360483,0.965274245,0.865516283,59.29113188,107.64989595,109.4191124,0.159478669
12667,991020,UGCA 292,0.930439304,76.2543441,27913.00031,0.931709415,13.904452,10.129150945,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.062251411
12846,998001,ESO 294-010,1.042193346,85.26275531,79508.22516,1.105876782,17.06089727,15.29145477,1.002261519,1.133693144,78.21758501,107.64989595,109.4191124,0.275579111
12856,1002001,IC 3104,0.81093608,70.1365192,16861.29477,0.715495728,8.864219882,7.210027195,0.669406168,0.529852094,195.4629037,52.76944407,49.01441002,0.03852558
12906,996004,KUG 1210+301B (KK98 127),0.793264639,74.2877208,20291.6773,0.643318942,10.88946251,5.301680681,0.58990896,0.712032987,156.8386749,107.64989595,109.4191124,0.051147109
12956,1002001,Andromeda XI,0.676868077,71.51528087,11124.73326,0.541704447,12.19108947,5.704019343,0.603665216,0.485795,212.1748634,71.64571974,77.27740009,0.043838817
12980,995006,M110 (NGC 205),0.988117924,83.95498404,28119.50932,0.857606089,16.03823955,10.129150945,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.066514648
13034,1003002,Sagittarius Dwarf Sphr SagDEG,1.006404451,84.37671268,23117.60381,0.926065063,18.73539308,13.27886526,0.906187275,1.015375099,108.7453288,106.2957465,144.4834464,0.073297964
13053,992016,NGC 247,0.83720531,73.84275244,21885.4304,0.677525803,14.70032055,10.129150945,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.059240762
13199,999000,Canes Venatici I Dwarf,0.845603344,80.84064873,34284.47281,0.932390268,20.10391172,17.21990977,0.799793115,0.990531358,103.3786856,107.64989595,109.4191124,0.102121894
13246,998001,Andromeda XII,0.866481939,74.78225565,26965.3487,0.81804035,12.84923828,4.945526555,0.778916582,0.449158652,155.8475661,107.64989595,109.4191124,0.061221259
13330,994009,UGC 8651 (DDO 181),0.584533119,55.91745869,26058.34236,0.821124373,14.70032055,10.129150945,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.047716784
13384,992016,Andromeda IX,1.053106834,86.99567116,46564.14752,1.071670023,17.34518881,9.080892297,0.97244957,0.629694022,91.82771059,107.64989595,109.4191124,0.152397116
13402,990025,NGC 300,0.498149854,49.96805772,16529.42651,0.488711669,6.634592539,5.418206051,0.350601297,0.351637002,203.9884104,107.64989595,109.4191124,0.048697878
13412,1003002,Carina III,0.993343658,83.89163769,17638.55048,0.722911515,16.00069836,11.8984309,0.887767544,0.938762554,118.4507538,115.1677162,106.0247483,0.080414087
13477,992016,Hydrus I,0.914539515,78.5706089,20438.74955,0.72615884,12.5260192,10.03853977,0.827969418,0.741186817,117.0743651,107.64989595,109.4191124,0.081182836
13546,990025,Canes Venatici II Dwarf,0.958246852,80.59992772,27525.75178,0.93038909,13.75651765,11.46416989,0.887640072,0.865627953,84.56953442,107.64989595,109.4191124,0.18589104
13581,995006,Pisces I,0.673878,63.99529378,20014.41036,0.572345212,8.566105771,4.89679111,0.632570662,0.463940487,191.0302357,107.64989595,109.4191124,0.050446183
13584,997002,KKH 11 (ZOAG G135.74-04.53),0.939327053,85.37913339,20374.34856,0.668440098,16.89513505,12.21853448,0.824421348,0.790573155,100.5886789,107.64989595,109.4191124,0.099161392
13620,1001000,Andromeda XXIV,0.494867285,49.68440647,20302.82961,0.503882617,15.15280243,5.116391866,0.562354533,0.580503064,214.4171481,69.82343287,75.65857354,0.044875232
13630,993012,Pisces Dwarf,1.049636361,80.17234875,32984.20275,0.879513532,15.53436785,9.571075287,0.739565603,0.836253422,114.8732343,107.64989595,109.4191124,0.066357309
13637,990025,Indus II,0.908628655,78.80759706,27965.39086,0.859692274,17.78081962,9.712666089,0.833419974,0.745868256,90.20650423,107.64989595,109.4191124,0.082529225
13651,992016,Andromeda XI,0.651499416,55.00391834,21152.52335,0.629229127,9.901684418,6.310426724,0.597063735,0.598297912,170.8733522,107.64989595,109.4191124,0.049829635
13662,995006,Carina Dwarf (E206-G220),0.735121205,70.45159034,15123.0596,0.671721694,11.46274063,10.129150945,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.050281638
13683,994009,Triangulum II,1.071202182,83.1086101,57813.1308,1.01751623,18.12210598,12.76777772,1.008414673,0.916771168,55.93675055,107.64989595,109.4191124,0.183867259
13704,994009,Pisces III (Andromeda XIII),0.884211416,80.41374816,26590.54473,0.968028566,13.29661111,6.384790249,0.809782196,0.612818278,117.4393658,107.64989595,109.4191124,0.055725198
13726,1001000,Tucana II,1.005845818,84.77738532,27707.49346,0.836837723,14.94015952,10.95208548,0.912605932,0.893539203,143.1185734,123.1341209,128.5214616,0.071448015
13728,994009,Leo P,1.048111452,90.21449256,52670.65645,1.053284039,22.17913154,11.70019463,1.054854517,0.944370774,59.9980524,107.64989595,109.4191124,0.186203736
13765,999000,NGC 4163 (NGC 4167),0.946328846,87.78488246,63065.72431,1.136233986,13.44397883,10.3720613,0.859406311,0.869760636,109.3240247,107.64989595,109.4191124,0.050964595
13775,997002,"Cassiopeia Dwarf (Cas dSph, Andromeda VII)",1.078113318,89.11286257,49300.8809,0.979701154,13.78796387,13.14554249,0.954754454,0.91154623,67.97737619,107.64989595,109.4191124,0.166212031
13832,1001000,Hydra II,0.641676446,57.17722896,17794.69284,0.559186616,11.29904998,6.052663173,0.642335821,0.402170856,188.3257681,84.81112777,61.80988813,0.045220101
13867,990025,Cassiopeia II (Andromeda XXX),0.670027315,66.38675769,13442.83202,0.65217041,10.74186462,9.380778847,0.568131509,0.520015125,145.0675191,107.64989595,109.4191124,0.053216603
13887,1003002,Andromeda XVII,0.714425961,56.5946688,27358.79542,0.444171054,13.2635599,10.129150945,0.813372348,0.748034114,132.20436485,75.27278264,55.25022968,0.060028585
13893,1002001,Hydra II,0.713521296,60.46774119,22179.94474,0.699709387,10.55025007,6.426664078,0.55187792,0.526463925,207.1389288,87.75843549,41.69903666,0.044879258
13932,999000,Andromeda XXVIII,0.91058135,77.7402992,16385.36642,0.97422128,19.81926685,12.96165065,0.92765481,0.886637319,104.2553819,107.64989595,109.4191124,0.087935572
13989,1003002,Carina Dwarf (E206-G220),0.782499571,70.54425367,30948.92522,0.722834985,13.2418881,6.629629191,0.664989265,0.604760217,132.20436485,122.6403988,74.5921673,0.045004285
14096,997002,Sagittarius Dwarf Irregular Galaxy (SagDIG),0.872885604,86.89164255,39170.04562,0.894749891,14.72022396,12.3165487,0.816688124,0.656614866,84.57684376,107.64989595,109.4191124,0.06615958
14101,994009,Andromeda Galaxy (M31),0.838322586,71.62727537,18470.43616,0.578029269,14.42135761,10.129150945,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.047776808
14102,994009,Antlia Dwarf,0.735724756,68.88443098,25266.53278,0.692017057,9.137499111,12.42261155,0.734010346,0.824489729,163.7057785,107.64989595,109.4191124,0.057797005
14136,990025,Grus I,1.003337894,83.05037991,18353.6401,0.823318529,11.85945929,10.06428306,0.829666987,0.593173908,105.288072,107.64989595,109.4191124,0.078859131
14163,999000,Carina III,0.909422969,79.30312793,20639.2538,0.729769837,14.27394328,15.25577002,0.844074177,0.908284101,175.2565942,107.64989595,109.4191124,0.081430831
14231,1003002,Barnard's Galaxy (NGC 6822),0.687185493,74.75922566,37727.84635,0.881448233,14.65724483,9.368371432,0.806302867,0.763346391,140.0505225,95.92615804,66.44694886,0.048160356
14240,994009,Crater II,0.62742877,53.9242656,21021.41579,0.498637388,9.03978513,6.389210331,0.588934816,0.482859024,169.9127052,107.64989595,109.4191124,0.049429187
14262,998001,NGC 247,0.911149373,82.41044718,27080.76355,0.718496653,14.70032055,10.129150945,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.056704035
14268,996004,ESO 321-014[70],0.901765389,81.80465002,29485.41824,0.947684731,14.00611897,8.065162768,0.839016075,0.552802543,132.229138,107.64989595,109.4191124,0.068226853
14294,994009,NGC 2403,1.071565213,81.77587763,37582.42517,0.790136853,18.09147175,11.10507747,0.931717022,0.944139763,98.8934873,107.64989595,109.4191124,0.10860919
14327,993012,Cassiopeia II (Andromeda XXX),0.716004961,71.52093303,13832.29834,0.637358685,11.05400096,7.128101381,0.619456161,0.552078572,141.8078598,107.64989595,109.4191124,0.052180168
14340,998001,Sextans Dwarf Sph,0.678131207,66.3027036,19806.8331,0.661074433,10.48015416,7.298083988,0.680706028,0.57336132,172.9879547,107.64989595,109.4191124,0.047379909
14381,1003002,Tucana IV,0.696919906,61.54225514,21385.8154,0.644279349,11.75810765,6.851400863,0.50036093,0.539623533,203.4063193,81.28455009,44.14601914,0.043371023
14403,997002,IC 342,0.94455576,74.30227588,29973.23827,0.908511693,17.05217432,11.93385873,0.792843053,0.8362801,113.872613,107.64989595,109.4191124,0.064963921
14411,991020,Reticulum II,0.88426937,73.04240597,28974.79523,0.959002901,14.87637964,10.129150945,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.107718731
14602,990025,Reticulum II,0.908692996,76.54687885,28811.43019,0.807681306,13.53931741,10.129150945,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.108589979
14615,990025,Camelopardalis B,0.818082167,81.00499445,30166.79396,0.852246418,10.67182318,4.742469612,0.833623733,0.467872915,152.5221981,107.64989595,109.4191124,0.05986803
14689,996004,IC 5152,0.943944271,82.50446592,5952.19873,0.637444718,12.36336474,8.331647991,0.770163228,0.529182619,173.1554045,107.64989595,109.4191124,0.057322298
14731,1000000,Leo P,0.981499577,84.31473777,63783.89377,1.211279172,19.9512564,13.36714684,1.026683708,0.99451197,61.04246777,118.1474734,132.8891204,0.189308664
14782,992016,Andromeda XIX[60],1.09408622,88.6815419,26297.45028,1.043237983,16.33114893,10.29334104,0.933349744,0.911662151,86.49690949,107.64989595,109.4191124,0.142129584
14886,994009,Indus II,1.070971846,81.65582392,26366.27642,0.968750274,17.09036972,11.66918184,0.771318807,0.834600225,87.93266982,107.64989595,109.4191124,0.084151009
14899,990025,NGC 404,0.91156536,77.6179689,24705.88027,0.770036941,14.38222925,11.56022052,0.627944766,0.776505035,126.9304446,107.64989595,109.4191124,0.071660344
14912,1002001,KKH 11 (ZOAG G135.74-04.53),0.906407925,79.05341699,23555.23258,0.915855037,17.40388151,14.27078787,0.941762647,0.806390232,142.7486408,112.3900924,116.766813,0.096664889
14943,995006,Cassiopeia III (Andromeda XXXII),0.91750586,80.79730859,29048.53769,0.850976877,15.18769345,12.38254541,0.759280983,0.898407045,75.28048626,107.64989595,109.4191124,0.068525363
15024,992016,UGCA 276 (DDO 113),0.994999346,81.0104994,16780.20629,0.720963238,14.6947736,10.129150945,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.049545363
15027,1000000,Coma Berenices Dwarf,0.921500806,79.32428723,27228.13394,0.794532283,14.91024661,10.11436301,0.79508276,0.848670541,134.351537,113.7605099,121.9006223,0.099156533
15069,1002001,Perseus I (Andromeda XXXIII),0.979163559,88.08051002,88202.75853,1.174116181,17.29282992,9.737173837,1.038450141,0.866834124,80.45425328,123.0312708,125.3236786,0.051607898
15095,996004,NGC 5102,0.935428295,85.48898755,43281.41933,0.988654764,19.4060282,14.23240358,1.0409222,0.89915488,69.44036532,107.64989595,109.4191124,0.152485598
15097,998001,Carina Dwarf (E206-G220),0.701716276,73.56596406,24087.19381,0.735132456,13.73129793,10.129150945,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.048461327
15269,1002001,Ursa Major I Dwarf (UMa I dSph),0.968264105,83.17833079,28929.80415,0.855734893,12.91628132,10.94864688,0.831215511,0.750834718,124.5809086,96.25652272,106.783818,0.058338284
15276,991020,"Small Magellanic Cloud (SMC, NGC 292)",0.87321211,73.22774957,27703.52653,0.974832821,17.06677228,7.523670504,0.80527454,0.682174219,123.8242073,107.64989595,109.4191124,0.059324231
15280,994009,Draco Dwarf (DDO 208),0.490148545,60.10959323,15529.95548,0.606948518,7.916408748,4.779754435,0.606229696,0.440124956,216.1001873,107.64989595,109.4191124,0.047535039
15366,1002001,ESO 383-087 (ISG 39),0.78241193,71.67490005,22970.01729,0.738091922,11.45967821,2.81825232,0.675627317,0.43649338,163.1202123,61.59722304,79.8911823,0.044185773
15414,992016,Pisces III (Andromeda XIII),0.861351901,81.66041515,19895.71714,0.923694006,13.7228638,7.086413002,0.69455853,0.562956769,130.9848166,107.64989595,109.4191124,0.055921005
15448,999000,NGC 5237,0.998818613,89.30352076,66634.58462,1.05158058,18.2117526,17.80715744,1.179072923,1.086768358,62.95573319,107.64989595,109.4191124,0.125833443
15616,996004,KK98 77,0.589969343,61.59738501,21512.65431,0.635483229,15.28634057,8.047170507,0.641091975,0.699828247,176.8325226,107.64989595,109.4191124,0.049010446
15645,1000000,KKh 060,0.680888965,62.44939045,28369.70692,0.841049504,15.52486847,7.622552452,0.760405572,0.674448831,177.2314259,96.1464057,58.64203295,0.047613153
15668,998001,Andromeda XXVI,0.772721667,65.03599687,12946.02566,0.668821829,12.59108644,8.024134182,0.564804526,0.533665564,176.9730738,107.64989595,109.4191124,0.053458223
15687,995006,Phoenix II,0.922333259,78.39392302,10169.55089,0.630508093,13.67580995,8.501490189,0.675039074,0.640634889,160.7547669,107.64989595,109.4191124,0.061473737
